Filton,51.5167,-2.5833,5.31,4.51,5.29,4.94,5.04,4.42,5.12,4.87,4.62,4.15,4.96,4.15,4.781666667
Bristol,51.3833,-2.71669,5.74,5,5.6,4.78,5,4.17,4.74,4.5,4.42,4.6,5.2,4.89,4.886666667
Yeovilton,51,-2.63329,4.34,3.71,4.59,3.51,3.79,3.16,3.88,3.67,3.25,3.44,4.02,3.56,3.743333333
Bournemouth,50.7833,-1.833,4.88,4.2,4.83,4.09,4.48,3.88,4.41,4.25,3.9,3.91,4.49,4.01,4.2775
Gatwick,51.15,-0.1833,3.93,3.46,3.95,3.21,3.61,3.1,3.43,3.24,2.99,2.93,3.54,3.33,3.393333333
Brize Norton,51.75,-1.5833,4,3.67,4.13,3.48,3.69,2.96,3.2,3.19,3.12,3.05,3.52,3.39,3.45
Cheltenham,51.9,-2.16669,3.82,3.13,4.25,3.58,3.78,3.13,3.81,3.71,3.32,3.21,3.48,2.64,3.488333333
Birmingham,52.45,-1.733299,4.69,3.94,4.7,3.9,4.05,3.6,4.04,4.04,3.74,3.78,4.31,3.83,4.051666667
Cranfield,52.0667,-0.6167,5.96,5.16,6.32,5.2,5.49,4.38,5.21,5.34,5.29,4.93,5.4,4.99,5.305833333
Luton,51.8667,-0.3667,5.48,4.69,5.37,4.22,4.4,3.8,4.26,4.28,4.07,4,4.81,4.63,4.500833333
Stansted,51.8833,0.233299,4.89,4.15,4.7,3.91,4.28,3.59,4.17,4.04,3.95,4.01,4.53,4.32,4.211666667
Tiree,56.5,-6.883299,8.87,6.74,8.1,6.44,6.02,5.44,5.88,6.07,6.76,7.45,7.9,7.22,6.9075
Islay,55.6667,-6.2567,7.67,5.97,7.09,6.04,5.94,5.09,5.37,5.29,5.9,6.53,6.88,5.48,6.104166667
Campbeltown,55.4333,-5.6864,7.47,5.97,7.06,5.94,5.7,4.83,4.94,5.31,6.07,6.6,7.08,6.05,6.085
Prestwick,55.5,-4.5833,5.07,3.68,4.62,4.17,4.06,3.49,3.78,4.09,4.07,4.07,4.6,3.44,4.095
Leuchars,56.38651,-2.87567,5.73,4.78,5.49,4.96,4.72,4.16,4.31,4.26,4.8,4.64,5.39,4.33,4.7975
Dundee,56.45,3.0167,5.12,4.41,5.46,5.19,5.16,4.61,4.82,4.54,5.04,4.46,4.8,3.68,4.774166667
Wick,58.45,-3.0833,6.75,5.97,6.57,5.81,5.1,4.54,4.29,4.54,5.1,5.9,6.41,5.69,5.555833333
Tain Range,57.867,-3.96669,5.05,4.8,5.56,5.83,5.6,4.9,5,5.15,4.64,4.81,4.86,4.43,5.0525
Kinloss,57.65,-3.566699,5.38,4.71,5.49,4.88,4.44,4.16,4.24,4.26,4.56,4.63,5.31,4.33,4.699166667
Edinburgh,55.95,-3.35,5.09,4.12,4.87,4.6,4.4,3.87,3.94,3.87,4.25,4.07,4.63,3.59,4.275
Tees-Side,54.5167,-1.41669,5.86,4.68,5.62,4.88,4.92,3.95,4.39,4.63,4.67,4.55,5.51,4.58,4.853333333
Leeming,54.3,-1.5333,5.1,3.94,4.97,3.88,4.07,3.34,3.68,3.86,3.86,3.73,4.78,3.74,4.079166667
Linton,54.05,-1.25,4.36,3.52,4.52,3.6,3.79,2.97,3.42,3.52,3.44,3.46,4.39,3.38,3.6975
Waddington,53.1667,-0.5167,5.3,4.27,5.02,4.42,4.55,3.67,4.22,4.18,4.28,4.41,5.19,4.45,4.496666667
Wainfleet,53.0833,0.2667,6.51,5.34,6.25,5.54,5.85,4.54,4.87,4.95,4.63,5.48,6.45,5.86,5.5225
Barkston,52.9667,-0.56669,7.08,5.83,6.76,5.97,6.06,4.63,5.27,5.61,5.81,5.48,6.67,6.19,5.946666667
Cranwell,53.033,-0.5,6.23,4.96,6.02,4.86,4.92,3.97,4.79,4.93,4.82,4.87,6.1,5.35,5.151666667
Wittering,52.6167,-0.46669,5.8,4.74,5.78,4.84,5.02,4.09,4.71,4.77,4.62,4.57,5.58,4.97,4.9575
