74001,"Duddon","Duddon Hall",319500,489600,"SD195268",5.065,319500,426800,53.731356,-3.2217059
75003,"Derwent","Ouse Bridge",319900,532100,"NY198783",17.237000000000002,319800,578300,55.092620,-3.2581724
21018,"Lyne Water","Lyne Station",320900,640000,"NT209494",3.1350000000000002,320900,649400,55.731517,-3.2611305
19001,"Almond","Craigiehall",316500,675300,"NT165387",6.208,316500,638700,55.634662,-3.3279124
19006,"Water of Leith","Murrayfield",322800,673200,"NT227927",1.5430000000000001,322700,692700,56.120758,-3.2448857
15006,"Tay","Ballathie",314800,736700,"NO147536",171.8,314700,753600,56.666366,-3.3933583
15025,"Ericht","Craighall",317400,747200,"NO174054",13.088000000000001,317400,705400,56.233941,-3.3340577
15029,"Alyth Burn","Pitcrocknie",325700,748500,"NO257194",0.42500000000000004,325700,719400,56.361063,-3.2041500
8006,"Spey","Boat o Brig",331900,851800,"NJ318505",65.822,331800,850500,57.539467,-3.1408617
52007,"Parrett","Chiselborough",346100,114400,"ST460701",1.213,346000,170100,51.427320,-2.7780923
52009,"Sheppey","Fenny Castle",349800,143900,"ST498384",1.09,349800,138400,51.142653,-2.7189745
54054,"Onny","Onibury",345500,279000,"SO454778",2.188,345400,277800,52.395481,-2.8038312
54005,"Severn","Montford",341200,314500,"SJ411914",43.46,341100,391400,53.416100,-2.8876517
68002,"Gowy","Picton",344300,371400,"SJ442771",1.229,344200,377100,53.287914,-2.8384891
73008,"Bela","Beetham",349600,480600,"SD496208",3.604,349600,420800,53.681216,-2.7645266
73006,"Cunsey Beck","Eel House Bridge",337000,494100,"SD369569",0.926,336900,456900,54.004251,-2.9642041
76008,"Irthing","Greenholme",348600,558100,"NY486195",7.855,348600,519500,54.568097,-2.7965020
20007,"Gifford Water","Lennoxlove",351100,671700,"NT511087",0.76,351100,608700,55.369843,-2.7730865
53003,"Avon","Bath St James",375100,165100,"ST751651",20.466,375100,165100,51.384395,-2.3591971
53005,"Midford Brook","Midford",376300,161100,"ST763156",2.2920000000000003,376300,115600,50.939351,-2.3386761
54029,"Teme","Knightsford Bridge",373500,255700,"SO734955",18.13,373400,295500,52.556683,-2.3937759
54062,"Stoke Brook","Stoke on Tern",363700,328000,"SJ637280",0.085,363700,328000,52.848270,-2.5404414
69037,"Mersey","Westy",362800,388400,"SJ628338",36.781,362800,333800,52.900344,-2.5544692
71009,"Ribble","New Jumbles Rock",370200,437600,"SD702493",33.103,370200,449300,53.938950,-2.4554291
23009,"South Tyne","Alston",371500,546500,"NY715434",4.426,371500,543400,54.784685,-2.4446733
14006,"Monikie Burn","Panbride",357400,736100,"NO574003",0.186,357400,700300,56.193399,-2.6880508
14007,"Craigmill Burn","Craigmill",357600,735800,"NO576063",0.326,357600,706300,56.247319,-2.6857904
13008,"South Esk","Brechin",360000,759700,"NO599625",12.807,359900,762500,56.752384,-2.6573582
44002,"Piddle","Baggs Mill",391300,87600,"SY913228",2.474,391300,22800,50.105229,-2.1230003
53029,"Biss","Trowbridge",385400,157900,"ST854105",0.8510000000000001,385400,110500,50.893794,-2.2089582
53024,"Tetbury Avon","Brokenborough",391400,189300,"ST914448",0.7050000000000001,391400,144800,51.202346,-2.1244742
54026,"Chelt","Slate Mill",389200,226400,"SO891672",0.5920000000000001,389100,267200,52.302810,-2.1612732
28053,"Penk","Penkridge",392200,314400,"SJ921911",2.34,392100,391100,53.416643,-2.1203260
28052,"Sow","Great Bridgford",388400,327000,"SJ883526",1.1840000000000002,388300,352600,53.070505,-2.1760709
28014,"Sow","Milford",397500,321500,"SJ975421",6.333,397500,342100,52.976244,-2.0386785
69042,"Ding Brook","Naden Reservoir",385000,417500,"SD850017",0.07100000000000001,385000,401700,53.511765,-2.2276590
25011,"Langdon Beck","Langdon",385200,530900,"NY852153",0.41700000000000004,385200,515300,54.532756,-2.2302195
24011,"Wear","Burnhope Reservoir",385600,539500,"NY855843",0.559,385500,584300,55.152820,-2.2290728
23003,"North Tyne","Reaverhill",390600,573200,"NY905557",21.923000000000002,390500,555700,54.895941,-2.1496514
21009,"Tweed","Norham",389800,647700,"NT898364",81.358,389800,636400,55.621076,-2.1635212
11001,"Don","Parkhill",388800,814200,"NJ887714",21.119,388700,871400,57.732208,-2.1914175
39020,"Coln","Bibury",412100,206200,"SP121470",1.397,412100,247000,52.121185,-1.8246875
39110,"Coln","Fairford",415000,201200,"SP150230",2.152,415000,223000,51.905340,-1.7833749
